#,abstract_target,target_type,nonword_target,related_prime,unrelated_prime
1,strength,abstract,zenvic,handstand,aardvark
2,victory,abstract,quoril,basketballchampions,alpaca
3,grief,abstract,vireon,mourning,aluminum_foil
4,chair,concrete,luthic,table,antelope
5,apple,concrete,arvessa,cucumber,anvil
6,dog,concrete,nithera,horse,appetizer
7,fish,concrete,solvyn,fish,arugula
9,kangaroo,concrete,dravik,australia,ashtray
10,disk,concrete,ismera,television,artichoke
11,purse,concrete,polvane,backpack,backgammon
12,sandwich,concrete,xandor,meat,watches
13,football,concrete,elthyn,tennisracket,aardvark
14,flower,concrete,ravelle,plant,backscratcher
15,nostalgia,abstract,jorim,Retro_Videogame,avocado
16,courage,abstract,caldrex,climbercliff,baklava
17,vanity,abstract,ophyra,vanity mirror,badger
18,wisdom,abstract,temorin,oldladyreading,bathmat_primary
19,envy,abstract,lisent,envy,barrette
20,anticipation,abstract,zorvain,gift,bat
,serenity,abstract,avenor,seashore,bead
,peculiarity,abstract,thersin,grinch,berry
,graciousness,abstract,velmora,ballerina,battery
,fragility,abstract,krindel,eggshell,bazooka
,elegance,abstract,orvessa,bartender,beard
,perseverance,abstract,shirel,climbercliff,aluminum_foil_
,apprehension,abstract,dorvin,noun-panic,bean
,infatuation,abstract,halveth,noun-in-love-,beaver
,curiosity,abstract,nivora,window_looking,bell
,resilience,abstract,srindor,jogging,bagpipe
,alienation,abstract,talvyn,noun-isolation,bathrobe_primary
,caper,concrete,quessra,Smoked_Salmon,alpaca
,scalpel,concrete,bries,Male_doctor,beachball
,glacier,concrete,scrould,polarbear,biscuit
,helmet,concrete,kroy,bike,artichoke
,canoe,concrete,skeild,airboat,amber
,submarine,concrete,tweal,titanic,bean
,igloo,concrete,smoaned,camping,fruitcake
,tuba,concrete,strincks,banjo,boulder
,thermos,concrete,knaust,cup,dolly
,barnacle,concrete,steast,noun-shocked,ashtray
